varname	varlabel
intnr	Interview number
inttime	Interview duration (sec)
scrcnt	Screen count
internr	Interviewer number
stime	Start time
brojupit	brojupit. Broj upitnika
regija	regija. Regija (ovo unosi anketar)
q1_1	Q1-1. Koliko imate godina?
q1_2	Q1-2. Gdje trenutno živite?
q1_3	Q1-3. U kom dijelu BiH živite?
q1_4	Q1-4. Koje je vaše stalno mjesto boravka?
q1_5	Q1-5. Koji je vaš trenutni radni status? ODGOVOR U 1.5 MORA DA SE SLAŽE SA 1.15.
q1_6	Q1-6. Koji je najviši stepen obrazovanja koji ste završili?
q1_7	Q1-7. Jeste li pripadnik neke vjere?
q1_8	Q1-8. Kojoj vjeroispovijesti pripadate?
q1_9	Q1-9. Koliko osoba živi s vama? (UKUPAN BROJ ne raèunajuæi vas) Samo ja ........
q1_10_1	Q1-10.: Partnerka-supruga-partner
q1_10_2	Q1-10.: Vaša djeca
q1_10_3	Q1-10.: Brat-braæa ili sestra-sestre
q1_10_4	Q1-10.: Djeca vaše partnerke i drugog muškarca
q1_10_5	Q1-10.: Roditelji
q1_10_6	Q1-10.: Drugi èlanovi rodbine (vaše ili partnerove-kine)
q1_10_7	Q1-10.: Djeca koja nisu s vama u srodstvu
q1_10_8	Q1-10.: Odrasli koji nisu s vama u srodstvu
q1_11	Q1-11. Ko/šta je glavni izvor prihoda u vašem domu?
q1_11dr	Q1-11dr. Drugo (navesti)
q1_12	Q1-12. Koliki je vaš lièni mjeseèni prihod?
q1_13	Q1-13. Dobijate li vi ili vaša porodica dobijate neki oblik mjeseène finansijske
q1_14_1	Q1-14.: Djeèji doplatak
q1_14_2	Q1-14.: Nadoknadu za nezaposlene
q1_14_3	Q1-14.: Ostalo
q1_15	Q1-15. Koji je vaš radni status?
q1_16	"Q1-16. Koliko sati sedmièno obièno radite posao za novac, ukljuèujuæi prekovreme"
q1_17	Q1-17. Izjava o poslu: Q1-17. Moj je posao ili situacija na poslu uglavnom stabi
q1_18	Q1-18. Izjava o poslu: Q1-18. Èesto sam pod stresom ili u depresiji jer nemam do
q1_19	Q1-19. Izjava o poslu: Q1-19. Èesto sam pod stresom ili u depresiji jer nemam do
q1_20	Q1-20. Izjava o nezaposlenosti: Q1-20. Ponekad me sramota suoèiti se sa vlastito
q1_21	Q1-21. Izjava o nezaposlenosti: Q1-21. Veæinu vremena sam bez posla ili tražim p
q1_22	Q1-22. Izjava o nezaposlenosti: Q1-22. Razmišljao sam o tome da napustim svoju p
q1_23	Q1-23. Izjava o nezaposlenosti: Q1-23. Ponekad pijem ili izlazim iz kuæe kad ne 
q2_1	Q2-1. Ko se za vas brinuo dok ste odrastali?
q2_1dr	Q2-1dr. Drugo (navedi)
q2_2	Q2-2. Koji stepen obrazovanja je završila vaša majka?
q2_3	Q2-3. Koji stepen obrazovanja je završio vaš otac?
q2_4	"Q2-4. U periodu od roðenja pa do 18 godina, koliko ste godina živjeli s vašim bi"
q2_5_1	Q2-5.: Niko
q2_5_2	Q2-5.: Moj oèuh
q2_5_3	Q2-5.: Moj ujak
q2_5_4	Q2-5.: Moj deda
q2_5_5	Q2-5.: Moj brat
q2_5_6	Q2-5.: Prijatelj porodice
q2_5_7	"Q2-5.: Uèitelj, trener ili religijski voða"
q2_5_8	Q2-5.: Ostalo
q2_5dr	Q2-5dr. Ostalo (navesti)
q2_6	Q2-6. Tvrdnje: Q2-6. Moj otac (ili drugi muškarac koji je živio s majkom) se pre
q2_7	Q2-7. Tvrdnje: Q2-7. Moja majka se prema mom ocu (ili drugom muškarcu s kojim je
q2_8	Q2-8. je li vaš otac ili neki drugi muškarac u kuæi: Q2-8. Kuhao hranu
q2_9	Q2-9. je li vaš otac ili neki drugi muškarac u kuæi: Q2-9. Èistio kuæu
q2_10	Q2-10. je li vaš otac ili neki drugi muškarac u kuæi: Q2-10. Prao odjeæu
q2_11	Q2-11. je li vaš otac ili neki drugi muškarac u kuæi: Q2-11. Èistio kupatilo/WC
q2_12	Q2-12. je li vaš otac ili neki drugi muškarac u kuæi: Q2-12. Brinuo se za vas il
q2_13	Q2-13. Ko je u vašem domaæinstvu imao posljednju rijeè o odlukama koje se tièu v
q2_13dr	Q2-13dr. Ostali (navesti)
q2_14	Q2-14. posljednju rijeè o odlukama... Hranu i odjeæu
