varname,varlabel
NN,NN
ID,ID
_v1,Q1.1 ??????? ???? ?????
_v2,Q1.1 ??????? ???? ?????
_v3,Q1.2 ?????/???????
_v4,Q1.3 ??????? ?? ???????????? ???
_v5,Q1.4 ??????? ?? ??? ????? ???????
_v6,Q1.5 ?????? ?????????? ?????????
_v7,Q1.6 ?????????? ?????? ?????????
_v8,Q1.7 ????? ???????? ????? ??????
_v9,Q1.7 ????? ???????? ????? ??????
_v10,Q1.8 ??????? ?????? ????????
_v11,Q1.9 ?????? ????? ???????? ?? ???
_v12,Q1.9.1 ?????? ????? ??????? ??????
_v13,Q1.10. ??? ???????? ???????? ?????
_v14,Q1.10. ??? ???????? ???????? ?????
_v15,Q1.10. ??? ???????? ???????? ?????
_v16,Q1.10. ??? ???????? ???????? ?????
_v17,Q1.10. ??? ???????? ???????? ?????
_v18,Q1.11 ??? ???????????? ?????????
_v19,Q1.11 ??? ???????????? ?????????
_v20,Q1.12 ???????? ?????? (??????) ???
_v21,Q1.13 ?????? ?????? ?????????? ??
_v22,Q1.14 ??????? ?????? ?????????? ?
_v23,Q1.15 ????? ???????? ????????
_v24,Q1.15 ????? ???????? ????????
_v25,Q1.16 ????????? ??? ???? ????????
_v26,Q1.17 ???? ????????? ??????? ????
_v27,Q1.18 ???? ????? ???? ??????? ????
_v28,Q1.19 ???? ?????? ???? ??????? ???
_v29,Q1.20 ?????? ??? ???????/????????
_v30,"Q1.21 ???? ?????, ?????? ??????? ?"
_v31,"Q1.22 ???? ?????, ?????? ???????? "
_v32,Q2.1 ????? ??????? ????????? ???
_v33,Q2.2 ????? ?????????? ??????????
_v34,Q2.3 ??????? ?????? ?????? ?????
_v35,Q2.4 ????? ???? ????????? ??????
_v36,Q2.5 ?????? ???? ??????? ???????
_v37,Q2.6 ?????? ???? ??????? ???????
_v38,Q2.7 ?????? ????? ???? ????? ????
_v39,Q2.8 ????? ???? ???????? ???????
_v40,"Q2.9 ?????? ???? ????????????, ??"
_v41,Q2.10 ?????? ???????????????????
_v42,"Q2.11 ???? ???????? ???? ??????, ?"
_v43,"Q2.12 ???? ??????????, ??????? ???"
_v44,Q2.13 ????? ?????????????? ?????
_v45,Q2.14 ???? ????? ???? ???? ???????
