,varname,varlabel,q_no,question_bosnian,question_eng
7,q1_1,Q1-1. Koliko imate godina?,Q1-1.,Koliko imate godina?,How old are you?
8,q1_2,Q1-2. Gdje trenutno živite?,Q1-2.,Gdje trenutno živite?,Where do you currently live?
9,q1_3,Q1-3. U kom dijelu BiH živite?,Q1-3.,U kom dijelu BiH živite?,In which part of BiH do you live?
10,q1_4,Q1-4. Koje je vaše stalno mjesto boravka?,Q1-4.,Koje je vaše stalno mjesto boravka?,What is your permanent place of residence?
11,q1_5,Q1-5. Koji je vaš trenutni radni status? ODGOVOR U 1.5 MORA DA SE SLAŽE SA 1.15.,Q1-5.,Koji je vaš trenutni radni status? ODGOVOR U 1.5 MORA DA SE SLAŽE SA 1.15.,What is your current employment status? ANSWER IN 1.5 MUST AGREE WITH 1.15.
12,q1_6,Q1-6. Koji je najviši stepen obrazovanja koji ste završili?,Q1-6.,Koji je najviši stepen obrazovanja koji ste završili?,What is the highest level of education you have completed?
13,q1_7,Q1-7. Jeste li pripadnik neke vjere?,Q1-7.,Jeste li pripadnik neke vjere?,Are you a member of any religion?
14,q1_8,Q1-8. Kojoj vjeroispovijesti pripadate?,Q1-8.,Kojoj vjeroispovijesti pripadate?,What religion do you belong to?
15,q1_9,Q1-9. Koliko osoba živi s vama? (UKUPAN BROJ ne računajući vas) Samo ja ........,Q1-9.,Koliko osoba živi s vama? (UKUPAN BROJ ne računajući vas) Samo ja ........,How many people live with you? (TOTAL NUMBER excluding you) Only me ........
16,q1_10_1,Q1-10.: Partnerka-supruga-partner,Q1-10.:,Partnerka-supruga-partner,Partner-wife-partner
17,q1_10_2,Q1-10.: Vaša djeca,Q1-10.:,Vaša djeca,Your children
18,q1_10_3,Q1-10.: Brat-braća ili sestra-sestre,Q1-10.:,Brat-braća ili sestra-sestre,Brother-brothers or sister-sisters
19,q1_10_4,Q1-10.: Djeca vaše partnerke i drugog muškarca,Q1-10.:,Djeca vaše partnerke i drugog muškarca,The children of your partner and another man
20,q1_10_5,Q1-10.: Roditelji,Q1-10.:,Roditelji,Parents
21,q1_10_6,Q1-10.: Drugi članovi rodbine (vaše ili partnerove-kine),Q1-10.:,Drugi članovi rodbine (vaše ili partnerove-kine),Other relatives (yours or your partner's)
22,q1_10_7,Q1-10.: Djeca koja nisu s vama u srodstvu,Q1-10.:,Djeca koja nisu s vama u srodstvu,Children who are not related to you
23,q1_10_8,Q1-10.: Odrasli koji nisu s vama u srodstvu,Q1-10.:,Odrasli koji nisu s vama u srodstvu,Adults who are not related to you
24,q1_11,Q1-11. Ko/šta je glavni izvor prihoda u vašem domu?,Q1-11.,Ko/šta je glavni izvor prihoda u vašem domu?,Who / what is the main source of income in your home?
25,q1_11dr,Q1-11dr. Drugo (navesti),Q1-11dr.,Drugo (navesti),Other (specify)
26,q1_12,Q1-12. Koliki je vaš lični mjesečni prihod?,Q1-12.,Koliki je vaš lični mjesečni prihod?,What is your personal monthly income?
27,q1_13,Q1-13. Dobijate li vi ili vaša porodica dobijate neki oblik mjesečne finansijske,Q1-13.,Dobijate li vi ili vaša porodica dobijate neki oblik mjesečne finansijske,If you or your family get some form of monthly financial
28,q1_14_1,Q1-14.: Dječji doplatak,Q1-14.:,Dječji doplatak,Child allowance
29,q1_14_2,Q1-14.: Nadoknadu za nezaposlene,Q1-14.:,Nadoknadu za nezaposlene,Unemployment benefit
30,q1_14_3,Q1-14.: Ostalo,Q1-14.:,Ostalo,The rest
31,q1_15,Q1-15. Koji je vaš radni status?,Q1-15.,Koji je vaš radni status?,What is your employment status?
32,q1_16,"Q1-16. Koliko sati sedmično obično radite posao za novac, uključujući prekovreme",Q1-16.,"Koliko sati sedmično obično radite posao za novac, uključujući prekovreme","How many hours a week do you usually do for money, including overtime"
33,q1_17,Q1-17. Izjava o poslu: Q1-17. Moj je posao ili situacija na poslu uglavnom stabi,Q1-17.,Izjava o poslu: Q1-17. Moj je posao ili situacija na poslu uglavnom stabi,Job Statement: Q1-17. My job or situation at work is mostly stagnant
34,q1_18,Q1-18. Izjava o poslu: Q1-18. Često sam pod stresom ili u depresiji jer nemam do,Q1-18.,Izjava o poslu: Q1-18. Često sam pod stresom ili u depresiji jer nemam do,Job Statement: Q1-18. I am often stressed or depressed because I don’t have to
35,q1_19,Q1-19. Izjava o poslu: Q1-19. Često sam pod stresom ili u depresiji jer nemam do,Q1-19.,Izjava o poslu: Q1-19. Često sam pod stresom ili u depresiji jer nemam do,Business statement: Q1-19. I am often stressed or depressed because I don’t have to
36,q1_20,Q1-20. Izjava o nezaposlenosti: Q1-20. Ponekad me sramota suočiti se sa vlastito,Q1-20.,Izjava o nezaposlenosti: Q1-20. Ponekad me sramota suočiti se sa vlastito,Unemployment statement: Q1-20. Sometimes I am ashamed to face my own
37,q1_21,Q1-21. Izjava o nezaposlenosti: Q1-21. Većinu vremena sam bez posla ili tražim p,Q1-21.,Izjava o nezaposlenosti: Q1-21. Većinu vremena sam bez posla ili tražim p,Unemployment statement: Q1-21. Most of the time I am out of work or looking for p
38,q1_22,Q1-22. Izjava o nezaposlenosti: Q1-22. Razmišljao sam o tome da napustim svoju p,Q1-22.,Izjava o nezaposlenosti: Q1-22. Razmišljao sam o tome da napustim svoju p,Unemployment statement: Q1-22. I was thinking about leaving my p
39,q1_23,Q1-23. Izjava o nezaposlenosti: Q1-23. Ponekad pijem ili izlazim iz kuće kad ne ,Q1-23.,Izjava o nezaposlenosti: Q1-23. Ponekad pijem ili izlazim iz kuće kad ne ,Unemployment statement: Q1-23. Sometimes I drink or leave the house when I don’t
40,q2_1,Q2-1. Ko se za vas brinuo dok ste odrastali?,Q2-1.,Ko se za vas brinuo dok ste odrastali?,Who took care of you when you were growing up?
41,q2_1dr,Q2-1dr. Drugo (navedi),Q2-1dr.,Drugo (navedi),Other (specify)
42,q2_2,Q2-2. Koji stepen obrazovanja je završila vaša majka?,Q2-2.,Koji stepen obrazovanja je završila vaša majka?,What level of education did your mother complete?
43,q2_3,Q2-3. Koji stepen obrazovanja je završio vaš otac?,Q2-3.,Koji stepen obrazovanja je završio vaš otac?,What level of education did your father complete?
44,q2_4,"Q2-4. U periodu od rođenja pa do 18 godina, koliko ste godina živjeli s vašim bi",Q2-4.,"U periodu od rođenja pa do 18 godina, koliko ste godina živjeli s vašim bi","In the period from birth to 18 years, how many years have you lived with your bi"
45,q2_5_1,Q2-5.: Niko,Q2-5.:,Niko,No one
46,q2_5_2,Q2-5.: Moj očuh,Q2-5.:,Moj očuh,My stepfather
47,q2_5_3,Q2-5.: Moj ujak,Q2-5.:,Moj ujak,My uncle
48,q2_5_4,Q2-5.: Moj deda,Q2-5.:,Moj deda,My grandfather
49,q2_5_5,Q2-5.: Moj brat,Q2-5.:,Moj brat,My brother
50,q2_5_6,Q2-5.: Prijatelj porodice,Q2-5.:,Prijatelj porodice,A family friend
51,q2_5_7,"Q2-5.: Učitelj, trener ili religijski vođa",Q2-5.:,"Učitelj, trener ili religijski vođa","Teacher, coach or religious leader"
52,q2_5_8,Q2-5.: Ostalo,Q2-5.:,Ostalo,The rest
53,q2_5dr,Q2-5dr. Ostalo (navesti),Q2-5dr.,Ostalo (navesti),Other (specify)
54,q2_6,Q2-6. Tvrdnje: Q2-6. Moj otac (ili drugi muškarac koji je živio s majkom) se pre,Q2-6.,Tvrdnje: Q2-6. Moj otac (ili drugi muškarac koji je živio s majkom) se pre,Claims: Q2-6. My father (or another man who lived with his mother) used to
55,q2_7,Q2-7. Tvrdnje: Q2-7. Moja majka se prema mom ocu (ili drugom muškarcu s kojim je,Q2-7.,Tvrdnje: Q2-7. Moja majka se prema mom ocu (ili drugom muškarcu s kojim je,Claims: Q2-7. My mother is towards my father (or another man she is with
56,q2_8,Q2-8. je li vaš otac ili neki drugi muškarac u kući: Q2-8. Kuhao hranu,Q2-8.,je li vaš otac ili neki drugi muškarac u kući: Q2-8. Kuhao hranu,is your father or some other man in the house: Q2-8. Cooked food
57,q2_9,Q2-9. je li vaš otac ili neki drugi muškarac u kući: Q2-9. Čistio kuću,Q2-9.,je li vaš otac ili neki drugi muškarac u kući: Q2-9. Čistio kuću,is your father or some other man in the house: Q2-9. He cleaned the house
58,q2_10,Q2-10. je li vaš otac ili neki drugi muškarac u kući: Q2-10. Prao odjeću,Q2-10.,je li vaš otac ili neki drugi muškarac u kući: Q2-10. Prao odjeću,is your father or some other man in the house: Q2-10. He washed his clothes
59,q2_11,Q2-11. je li vaš otac ili neki drugi muškarac u kući: Q2-11. Čistio kupatilo/WC,Q2-11.,je li vaš otac ili neki drugi muškarac u kući: Q2-11. Čistio kupatilo/WC,is your father or some other man in the house: Q2-11. Clean bathroom / toilet
60,q2_12,Q2-12. je li vaš otac ili neki drugi muškarac u kući: Q2-12. Brinuo se za vas il,Q2-12.,je li vaš otac ili neki drugi muškarac u kući: Q2-12. Brinuo se za vas il,is your father or some other man in the house: Q2-12. He took care of you or
61,q2_13,Q2-13. Ko je u vašem domaćinstvu imao posljednju riječ o odlukama koje se tiču v,Q2-13.,Ko je u vašem domaćinstvu imao posljednju riječ o odlukama koje se tiču v,Who in your household had the last word on decisions concerning c
62,q2_13dr,Q2-13dr. Ostali (navesti),Q2-13dr.,Ostali (navesti),Others (specify)
63,q2_14,Q2-14. posljednju riječ o odlukama... Hranu i odjeću,Q2-14.,posljednju riječ o odlukama... Hranu i odjeću,the last word on decisions ... Food and clothes
64,q2_14dr,Q2-14dr. Ostali (navesti),Q2-14dr.,Ostali (navesti),Others (specify)
65,q2_15,Q2-15. posljednju riječ o odlukama... Velike investicije kao što su kupovina aut,Q2-15.,posljednju riječ o odlukama... Velike investicije kao što su kupovina aut,last word on decisions ... Big investments like buying out
66,q2_15dr,Q2-15dr. Ostali (navesti),Q2-15dr.,Ostali (navesti),Others (specify)
67,q2_16,"Q2-16. Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-16. Pr",Q2-16.,"Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-16. Pr","When you were a child or adolescent, did they teach you how to: Q2-16. Pr"
68,q2_17,"Q2-17. Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-17. Či",Q2-17.,"Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-17. Či","When you were a child or adolescent, did they teach you how to: Q2-17. Chi"
69,q2_18,"Q2-18. Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-18. Či",Q2-18.,"Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-18. Či","When you were a child or adolescent, did they teach you how to: Q2-18. Chi"
70,q2_19,"Q2-19. Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-19. Pe",Q2-19.,"Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-19. Pe","When you were a child or adolescent, did they teach you how to: Q2-19. Pe"
71,q2_20,"Q2-20. Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-20. Br",Q2-20.,"Kada ste bili dijete ili adolescent, jesu li vas učili kako da: Q2-20. Br","When you were a child or adolescent, did they teach you how to: Q2-20. Br"
